Time(s),FPS
0.00,0.29
0.40,55.92
1.40,189.95
2.45,113.64
3.45,163.53
4.45,167.00
5.45,225.92
6.45,246.75
7.45,260.19
8.46,232.51
9.46,216.73
10.66,182.93
11.66,139.43
12.67,114.24
13.67,113.83
14.67,107.97
15.68,110.58
16.68,125.48
17.69,127.32
18.69,127.18
19.70,132.06
20.70,126.62
21.70,133.99
22.71,136.74
23.71,135.18
24.72,134.19
25.72,131.59
26.72,133.52
27.73,135.27
28.74,138.19
29.74,138.70
30.74,135.86
31.74,126.26
32.75,125.58
33.75,128.43
34.76,126.18
35.77,127.90
36.77,119.98
37.77,128.41
38.77,126.82
39.78,131.74
40.78,132.53
41.78,133.53
42.79,146.45
43.79,148.65
0.00,0.30
0.42,71.72
1.42,208.51
2.42,200.36
3.43,203.38
4.43,222.38
5.43,221.71
6.44,236.03
7.44,242.26
8.44,248.04
9.45,248.26
10.45,249.25
11.45,241.08
12.45,238.64
13.46,244.99
14.46,241.97
15.46,199.87
16.46,208.95
17.47,201.67
18.50,115.01
19.50,73.80
20.51,105.35
21.51,118.97
22.52,119.41
23.52,106.39
24.52,109.00
25.53,108.21
26.53,115.86
27.53,120.90
28.54,122.36
29.55,121.94
30.55,119.84
31.55,117.64
32.55,117.00
33.56,113.34
34.56,123.20
35.57,124.51
36.57,124.23
37.58,123.43
38.59,124.13
39.59,126.19
40.59,124.84
41.60,124.85
42.60,127.40
43.61,121.38
44.61,121.21
45.62,122.26
46.62,119.47
47.63,122.61
48.63,124.43
49.63,121.59
50.63,122.92
51.64,122.85
52.64,108.90
53.64,106.22
